,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
453,49,1,555,0021600457,Jefferson  Driving Dunk (8 PTS) (Love 3 AST),,4:10,4,4.0,4,0,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,101 - 99,-2,,4:59 PM
454,101,1,556,0021600457,,,3:49,4,5.0,0,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,103 - 99,-4,Green 7' Driving Floating Jump Shot (14 PTS),5:00 PM
455,1,9,557,0021600457,CAVALIERS Timeout: Regular (Full 6 Short 1),,3:46,4,2.0,0,0,1610612739,,,,,,0,,,,,,0,,,,,,,,,5:00 PM
456,0,8,560,0021600457,,,3:46,4,5.0,5,0,2733,Shaun Livingston,GSW,Golden State,1610612744.0,Warriors,2738,Andre Iguodala,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,SUB: Iguodala FOR Livingston,5:03 PM
457,108,1,561,0021600457,James  Cutting Dunk Shot (29 PTS) (Irving 10 AST),,3:36,4,4.0,4,0,2544,LeBron James,CLE,Cleveland,1610612739.0,Cavaliers,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,103 - 101,-2,,5:03 PM
458,1,2,562,0021600457,,,3:17,4,5.0,0,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Green 25' 3PT Jump Shot,5:03 PM
459,0,4,563,0021600457,CAVALIERS Rebound,,3:17,4,2.0,0,0,1610612739,,,,,,0,,,,,,0,,,,,,,,,5:03 PM
460,1,2,564,0021600457,MISS Shumpert 26' 3PT Jump Shot,,2:48,4,4.0,0,0,202697,Iman Shumpert,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,5:04 PM
461,0,4,565,0021600457,Irving REBOUND (Off:3 Def:3),,2:48,4,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,5:04 PM
462,5,2,566,0021600457,MISS Irving 2' Layup,,2:44,4,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,5:04 PM
463,0,4,567,0021600457,,,2:42,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Durant REBOUND (Off:0 Def:13),5:04 PM
464,1,5,568,0021600457,Irving STEAL (6 STL),,2:33,4,5.0,4,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Green Bad Pass Turnover (P6.T18),5:04 PM
465,42,1,569,0021600457,Irving  Driving Layup (21 PTS) (Shumpert 2 AST),,2:18,4,4.0,4,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,202697,Iman Shumpert,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,103 - 103,TIE,,5:05 PM
